Price,URL,Seller,Location,Size
60 000 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a171388213030814&slink=auysd2&f1=1,N/A,"град Габрово, Младост",Продава 1-СТАЕН
26 000 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a171921433020850&slink=auysd2&f1=1,N/A,"град Габрово, Промишлена зона",Продава 1-СТАЕН
30 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166585735056163&slink=auysd2&f1=2,N/A,"град Габрово, Център",Продава 1-СТАЕН
60 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171269000585567&slink=auysd2&f1=2,N/A,"град Габрово, Дядо Дянко",Продава 2-СТАЕН
28 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171830138410860&slink=auysd2&f1=2,N/A,"град Габрово, Младост",Продава 2-СТАЕН
79 500 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171808252315157&slink=auysd2&f1=3,N/A,"град Габрово, Център",Продава 2-СТАЕН
44 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b157337334004274&slink=auysd2&f1=3,N/A,"град Габрово, Център",Продава 2-СТАЕН
110 000 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c170894532295332&slink=auysd2&f1=4,N/A,"град Габрово, Бичкиня",Продава 3-СТАЕН
80 000 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171148935126266&slink=auysd2&f1=4,N/A,"град Габрово, Дядо Дянко",Продава 3-СТАЕН
80 000 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171559773136048&slink=auysd2&f1=4,N/A,"град Габрово, Младост",Продава 3-СТАЕН
88 000 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c160950350029094&slink=auysd2&f1=4,N/A,"град Габрово, Център",Продава 3-СТАЕН
69 900 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c160693697812370&slink=auysd2&f1=5,N/A,"град Габрово, Център",Продава 3-СТАЕН
87 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171817766313490&slink=auysd2&f1=5,N/A,"град Габрово, Център",Продава 3-СТАЕН
110 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171533253808476&slink=auysd2&f1=5,N/A,"град Габрово, Център",Продава 3-СТАЕН
65 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1d168610317018210&slink=auysd2&f1=6,N/A,"град Габрово, Център",Продава 4-СТАЕН
30 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1a166585735056163&slink=auysd2&f1=2,N/A,"град Габрово, Център",Продава 1-СТАЕН
60 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171269000585567&slink=auysd2&f1=2,N/A,"град Габрово, Дядо Дянко",Продава 2-СТАЕН
28 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171830138410860&slink=auysd2&f1=2,N/A,"град Габрово, Младост",Продава 2-СТАЕН
79 500 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b171808252315157&slink=auysd2&f1=3,N/A,"град Габрово, Център",Продава 2-СТАЕН
44 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1b157337334004274&slink=auysd2&f1=3,N/A,"град Габрово, Център",Продава 2-СТАЕН
110 000 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c170894532295332&slink=auysd2&f1=4,N/A,"град Габрово, Бичкиня",Продава 3-СТАЕН
80 000 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171148935126266&slink=auysd2&f1=4,N/A,"град Габрово, Дядо Дянко",Продава 3-СТАЕН
80 000 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171559773136048&slink=auysd2&f1=4,N/A,"град Габрово, Младост",Продава 3-СТАЕН
88 000 лв.,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c160950350029094&slink=auysd2&f1=4,N/A,"град Габрово, Център",Продава 3-СТАЕН
69 900 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c160693697812370&slink=auysd2&f1=5,N/A,"град Габрово, Център",Продава 3-СТАЕН
87 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171817766313490&slink=auysd2&f1=5,N/A,"град Габрово, Център",Продава 3-СТАЕН
110 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171533253808476&slink=auysd2&f1=5,N/A,"град Габрово, Център",Продава 3-СТАЕН
65 000 EUR,//www.imot.bg/pcgi/imot.cgi?act=5&adv=1d168610317018210&slink=auysd2&f1=6,N/A,"град Габрово, Център",Продава 4-СТАЕН
